CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,Privada,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,Privada,Venda Nova do Imigrante,ES,Extinta
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ,Pública,Macapá,AP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,Privada,São Bernardo do Campo,SP,Ativa
4250,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA),Privada,Juiz de Fora,MG,Extinta
626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,Privada,Osório,RS,Ativa
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,Privada,Campos Gerais,MG,Ativa
1419,CENTRO UNIVERSITÁRIO CURITIBA,Privada,Curitiba,PR,Ativa
2538,FACULDADE VENDA NOVA DO IMIGRANTE,Privada,Venda Nova do Imigrante,ES,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,Privada,São José dos Campos,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,Privada,Bom Sucesso,MG,Extinta
22760,Faculdade Fleming Cerquilho,Privada,Cerquilho,SP,Ativa
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",Pública,Montes Claros,MG,Ativa
25167,FACULDADE SIGMA,Privada,Ibicaraí,BA,Ativa
17952,Faculdade de Tecnologia de Jacareí,Pública,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,Privada,Itapeva,SP,Extinta
1244,Centro Universitário Multivix Vitória,Privada,Vitória,ES,Ativa
1494,Centro Universitário Salesiano,Privada,Vitória,ES,Ativa
21877,FACULDADE INTEGRADA DA AMAZÔNIA,Privada,Belém,PA,Ativa
1253,FACULDADE METODISTA GRANBERY,Privada,Juiz de Fora,MG,Ativa
15526,FACULDADE UNIRB CEARÁ,Privada,Fortaleza,CE,Ativa
3757,FACULDADE SERRA DA MESA,Privada,Uruaçu,GO,Ativa
3363,FACULDADE GUARAÍ,Privada,Guaraí,TO,Ativa
21982,Faculdade Integrada CETE,Privada,Garanhuns,PE,Ativa
338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,Privada,Belo Horizonte,MG,Ativa
22113,Faculdade Pitagoras Anhanguera de Santa Cruz do Sul,Privada,Santa Cruz do Sul,RS,Extinta
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,Pública,Paracambi,RJ,Ativa
1279,FACULDADE DE ITÁPOLIS - FACITA,Privada,Itápolis,SP,Ativa
22313,FACULDADE NOVE DE JULHO DE BAURU,Privada,Bauru,SP,Ativa
1624,FACULDADE MARECHAL RONDON,Privada,São Manuel,SP,Ativa
25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS,Pública,Belo Horizonte,MG,Ativa
1502,FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ,Privada,Jundiaí,SP,Ativa
14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",Pública,Curitiba,PR,Ativa
728,FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO,Privada,Curvelo,MG,Ativa
25001,INSTITUTO GOIANO DE DIREITO,Privada,Goiânia,GO,Ativa
12547,FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL,Privada,Natal,RN,Ativa
13484,FACULDADE EUROPÉIA DE VITÓRIA,Privada,Cariacica,ES,Ativa
3306,FACULDADE DE TECNOLOGIA IPUC,Privada,Canoas,RS,Ativa
24996,Faculdade Uniavan Joinville,Privada,Joinville,SC,Ativa
21953,Instituto União das Faculdades Americanas,Privada,Formosa,GO,Extinta
18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,Pública,Diadema,SP,Ativa
14622,FACULDADE UNIFTB,Privada,Tobias Barreto,SE,Ativa
22702,FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ,Privada,Chapecó,SC,Ativa
18735,Faculdade AGES de Lagarto,Privada,Lagarto,SE,Ativa
18667,FACULDADE SANTO ANTÔNIO,Privada,Caçapava,SP,Ativa
668,CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,Privada,Manaus,AM,Ativa
19850,FACULDADE MAURÍCIO DE NASSAU DE NITERÓI,Privada,Niterói,RJ,Extinta
2044,INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO,Privada,Icó,CE,Extinta
1835,Faculdade de Colinas do Tocantins,Privada,Colinas do Tocantins,TO,Ativa
1356,CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,Pública,Santa Fé do Sul,SP,Ativa
18736,Escola Superior de Tecnologia & Gestão de Santa Catarina,Privada,Florianópolis,SC,Ativa
1096,FACULDADE DE PRESIDENTE EPITÁCIO - FAPE,Privada,Presidente Epitácio,SP,Ativa
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",Privada,Santa Rita do Sapucaí,MG,Ativa
1257,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",Privada,Curitiba,PR,Extinta
22627,Faculdade Abrange ABC,Privada,São Bernardo do Campo,SP,Ativa
1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,Privada,Cascavel,PR,Ativa
23890,FACULDADES INTEGRADAS DE SAÚDE E EDUCAÇÃO DO BRASIL,Privada,Cuiabá,MT,Ativa
22566,Faculdade Metropolitana de Itacoatiara,Privada,Itacoatiara,AM,Ativa
726,FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO,Pública,Jacarezinho,PR,Extinta
18158,FACULDADE MADALENA SOFIA,Privada,Curitiba,PR,Ativa
1525,FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO,Privada,Afonso Cláudio,ES,Extinta
152,FACULDADE DE CIÊNCIAS CONTÁBEIS,Privada,Salvador,BA,Ativa
2232,FACULDADE DE ADMINISTRAÇÃO E MARKETING DE BRASÍLIA,Privada,Brasília,DF,Extinta
627,FACULDADE CNEC VARGINHA,Privada,Varginha,MG,Ativa
13300,FACULDADE ADJETIVO CETEP,Privada,Mariana,MG,Ativa
2454,FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA,Privada,Teresina,PI,Extinta
2133,"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",Privada,Boa Vista,RR,Ativa
18956,Faculdade de Ciências e Tecnologia de Janaúba,Privada,Janaúba,MG,Ativa
622,FACULDADES INTEGRADAS SILVA E SOUZA,Privada,Rio de Janeiro,RJ,Ativa
4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,Privada,São José dos Campos,SP,Ativa
5403,CENTRO UNIVERSITÁRIO OPET,Privada,Curitiba,PR,Ativa
2500,FACULDADE EINSTEIN,Privada,Salvador,BA,Ativa
1885,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,Privada,São Luís,MA,Ativa
12766,FACULDADE UNIÃO DE CAMPO MOURÃO,Privada,Campo Mourão,PR,Ativa
23877,"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",Privada,Brasília,DF,Ativa
916,FACULDADE ESTÁCIO DE TERESINA,Privada,Teresina,PI,Ativa
2117,FACULDADE DE CIÊNCIA E TECNOLOGIA,Privada,Palotina,PR,Ativa
2944,FACULDADE ANHANGUERA DE ITABUNA,Privada,Itabuna,BA,Ativa
18734,Faculdade de Martinópolis,Privada,Martinópolis,SP,Ativa
20328,FACULDADE DE ODONTOLOGIA DA APCD,Privada,São Paulo,SP,Ativa
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,Privada,Barretos,SP,Ativa
19838,Faculdade Lusitana de Pernambuco,Privada,Carpina,PE,Ativa
23177,Faculdade de Educação Superior de Catalão,Privada,Catalão,GO,Ativa
18051,Faculdades de Ciências e Tecnologia do Nordeste LTDA,Privada,Fortaleza,CE,Ativa
4070,ESCOLA AGROTÉCNICA FEDERAL DE SALINAS,Pública,Salinas,MG,Extinta
21687,FACULDADE ANHANGUERA ITABIRA,Privada,Itabira,MG,Ativa
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,Pública,São Paulo,SP,Ativa
22425,FACULDADE ESAMC FRANCA,Privada,Franca,SP,Ativa
5671,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA,Privada,Itaperuna,RJ,Ativa
